Structure [idcode]	Molecule Name	MolRegNo	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Index	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	InChI-Key	Molecular Formula	Monoisotopic Mass	Druglikeness	
fig`P@I@P{NQSQIYIQQSIPi\DENR}Ft@DpPQMTE@aJ@	Compound 337	339173	=	23000	nM	EC50				257470		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 16 (4), 830-833 (2006)	16325400	10.1016/j.bmcl.2005.11.018	LRXFKEUZIPSQTJ-UHFFFAOYSA-N	C20H17NO4	335.115759	-4.6821	
ffca@@D@rJIQQISSHsIJlFIZmPT@D@@@PIP@	Compound 338	558547		0		EC50				425462		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 52 (16), 5228-5240 (2009)	19645480	10.1021/jm900611t	LVNRFCFYRYHIAZ-HNNXBMFYSA-N	C20H19NO	289.146664	2.4802	
fj}QC@EI\BHyDRBLbbbTTjfVbRXKQle`Hbjf@@bEJ@@	Compound 339	452856	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	LWXCPGHJKWJLOG-UHFFFAOYSA-N	C15H12N2OCl2S	338.004737	4.075	
eod\FDDBHmnIBjkg`HcHHve{lbbRVTtRTrVdLRTthX\|bRVN`@i`@ie`BFB@@@	Compound 340	493966	=	89	nM	IC50				341535		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 18 (20), 5684-5688 (2008)	18796354	10.1016/j.bmcl.2008.08.082	LXKXHISGOOZAGB-UHFFFAOYSA-N	C20H12N3O6ClS	457.013534	-6.8583	
fm{Pr@JVqKQdyAHYDihdhihUEJeDeM]MULuUMP@DEP@	Compound 341	29947	>	1.0e5	nM	EC50				256674		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	LYBWGROBJJXCJJ-VYIIXAMBSA-N	C18H23N2O6F	382.154016	-16.036	
fm{Pr@JVqKQdyAHYDihdhihUEJeDeM]MULuUMP@DEP@	Compound 342	29947	>	1.0e5	nM	EC50				256675		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	LYBWGROBJJXCJJ-VYIIXAMBSA-N	C18H23N2O6F	382.154016	-16.036	
fm{Pr@JVqKQdyAHYDihdhihUEJeDeM]MULuUMP@DEP@	Compound 343	29947	>	1.0e5	nM	EC50				256676		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	LYBWGROBJJXCJJ-VYIIXAMBSA-N	C18H23N2O6F	382.154016	-16.036	
ffs`a@EBtBl\DILk\{ljkSdeAbVl@PtuM@A@@@	Compound 344	317118	=	950	nM	IC50	0.37	14.36	16.11	238671		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	MAYSJMBSILUGEG-UHFFFAOYSA-N	C17H10NO2IS	418.947697	1.6739	
e`TZJD@LE@hehDCBk`@apHrRRqIYJYJIJKJIKSBRYUGOKP@Tu@DTFDP@@@	Compound 345	348710	=	2.4547e13	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	MFBIUOFKXQKEGQ-UHFFFAOYSA-N	C20H17N5O5S2	471.067110	-0.17243	
e`TZJD@LE@hehDCBk`@apHrRRqIYJYJIJKJIKSBRYUGOKP@Tu@DTFDP@@@	Compound 346	348710	=	40000	nM	IC50	0.19	9.33	2.61	262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	MFBIUOFKXQKEGQ-UHFFFAOYSA-N	C20H17N5O5S2	471.067110	-0.17243	
fhiHP@DDYpAoAR[evV]YsUfiZijjlBReZ@@	Compound 347	337910	=	47000	nM	EC50				256629		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1140-1148 (2006)	16451078	10.1021/jm0509750	MHXCOGJMZNSJBR-CSMHCCOUSA-N	C9H12N4O4	240.085856	-1.4923	
fhiHP@DDYpAoAR[evV]YsUfiZijjlBReZ@@	Compound 348	337910	>	1.0e5	nM	IC50				256635		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1140-1148 (2006)	16451078	10.1021/jm0509750	MHXCOGJMZNSJBR-CSMHCCOUSA-N	C9H12N4O4	240.085856	-1.4923	
fhiHP@DDYpAoAR[evV]YsUfiZijjlBReZ@@	Compound 349	337910	>	2.1	-	Selectivity index				256641		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1140-1148 (2006)	16451078	10.1021/jm0509750	MHXCOGJMZNSJBR-CSMHCCOUSA-N	C9H12N4O4	240.085856	-1.4923	
egh\D@@DCH`@lbbTRRbrRfbtLRbLacdTrqusUUPPTU@@@PDGe@@	Compound 350	1732329	=	9500	nM	EC50				843084		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 57 (6), 2393-2412 (2014)	24568342	10.1021/jm401712t	MMIABLSMKGWQKD-SFHVURJKSA-N	C25H29N3O2	403.225977	6.7431	
flu`a@B\dBHtDILj{\jkQegQS@ASSP@@@@	Compound 351	371903	=	95	nM	IC50	0.50	24.24	17.92	278391		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	MNUHXGJUYTWVLU-UHFFFAOYSA-N	C14H8NO2ClS	288.996426	1.1587	
flu`a@B\dBHtDILj{\jkQegQS@ASSP@@@@	Compound 352	371903	=	96	%	Inhibition				278392		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	MNUHXGJUYTWVLU-UHFFFAOYSA-N	C14H8NO2ClS	288.996426	1.1587	
edVPB@@@O`X\bbTTTTbbbrvbtatUeGFbPUQTpqsSUUUUUUUUTuURXDTTLT\TBDZDADCTST@@	Compound 353	387585		0		Activity				294022		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	MPDGHEJMBKOTSU-LBWPLNRGSA-N	C30H46O4	470.339610	-2.3558	
edVPB@@@O`X\bbTTTTbbbrvbtatUeGFbPUQTpqsSUUUUUUUUTuURXDTTLT\TBDZDADCTST@@	Compound 354	387585		0		Activity				294025		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	MPDGHEJMBKOTSU-LBWPLNRGSA-N	C30H46O4	470.339610	-2.3558	
edVPB@@@O`X\bbTTTTbbbrvbtatUeGFbPUQTpqsSUUUUUUUUTuURXDTTLT\TBDZDADCTST@@	Compound 355	387585		0		Activity				294024		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	MPDGHEJMBKOTSU-LBWPLNRGSA-N	C30H46O4	470.339610	-2.3558	
edVPB@@@O`X\bbTTTTbbbrvbtatUeGFbPUQTpqsSUUUUUUUUTuURXDTTLT\TBDZDADCTST@@	Compound 356	387585		0		Activity				294023		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	MPDGHEJMBKOTSU-LBWPLNRGSA-N	C30H46O4	470.339610	-2.3558	
ecWRN@@DAOM`CHdflR\bbTJbRbtTRrbbtRrbtZTRQECrJnkUUTmTuSATEPu@A@QaNEYNi@i@	Compound 357	24130	=	2260	nM	Ki	0.18	9.31	3.72	265844		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (16), 4971-4980 (2006)	16884309	10.1021/jm0603926	MQOSRSSZYUXZNH-UMNYJUJISA-N	C33H42N4O7	606.305351	-21.737	
ea}vA@@DB@al]PCKBofQ\|bbbbRRTUfRbfbRRtTLJbbLRTTTJK@fgfss_[UAPKETpTECUUSUUPLA@TNRj@peRp@	Compound 358	371590	=	72	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	MSVCDURWFSLHBU-XGBZBDDZSA-N	C42H52N6O8	768.384664	3.7171	
fa{qB@LZlh@QdbdRRRbJRvbRprUoQ[vjjiBBH@J@@@	Compound 359	453071	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	MWLKYUBXVDOPGN-UHFFFAOYSA-N	C19H21N3OS	339.140532	6.4163	
fi{qA`EN|DFIsDdDMdNr@yCHhheEJihdmEiFBuYNXBHjhDBjbHTh@@	Compound 360	452857	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	MXDXPXDVTLJQTC-UHFFFAOYSA-N	C15H10N3OBr2F3S	494.886338	-6.2397	
fcgqR@JF}bSleAHYDihdhmEDXiThde{ijijfjZ`@HJ`@	Compound 361	338252	>	1.0e5	nM	EC50				256674		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	NBTZKNVHPWRYEI-CFMCSPIPSA-N	C19H26N3O5F	395.185650	-10.95	
fcgqR@JF}bSleAHYDihdhmEDXiThde{ijijfjZ`@HJ`@	Compound 362	338252	>	1.0e5	nM	EC50				256675		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	NBTZKNVHPWRYEI-CFMCSPIPSA-N	C19H26N3O5F	395.185650	-10.95	
fcgqR@JF}bSleAHYDihdhmEDXiThde{ijijfjZ`@HJ`@	Compound 363	338252	>	1.0e5	nM	EC50				256676		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 49 (3), 1198-1201 (2006)	16451084	10.1021/jm0507678	NBTZKNVHPWRYEI-CFMCSPIPSA-N	C19H26N3O5F	395.185650	-10.95	
fa{QPBHF@aU`peGIMrmsnrjoIZLgK^m@DMMSP@P@@@	Compound 364	316295	=	24	%	Inhibition				240686		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	NCSVSLHTQYQRAR-UHFFFAOYSA-N	C17H10N2O5	322.058973	-4.8128	
fk`p@E@QRSoILl[L{Jl{tXv^smUTuSTD@@DDMH@	Compound 365	333821	=	22	%	Inhibition				254531		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	NFVJQUGMUOPQGN-VIQWUECVSA-N	C22H23NO6	397.152539	0.48972	
fmoQa@EEEkHJqpPdrmsnro[JtyIPXsW@DMMSTuUQL@@	Compound 366	317655	=	36	%	Inhibition				240686		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	NGXZDZLIARDBJM-UHFFFAOYSA-N	C20H19N2O3IS	494.016111	-2.0178	
e`\RHJ@BKGCi@HcPHjBF`cXHrJJIKPiQISSQSHqKLBAIU]WOPPPu@DMSUMPR@@@	Compound 367	349571	=	8.3176e13	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	NNVVKOVHRSDRSQ-UHFFFAOYSA-N	C22H19N4OClS4	518.013018	3.7138	
e`\RHJ@BKGCi@HcPHjBF`cXHrJJIKPiQISSQSHqKLBAIU]WOPPPu@DMSUMPR@@@	Compound 368	349571	=	12000	nM	IC50	0.21	9.48	7.26	262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	NNVVKOVHRSDRSQ-UHFFFAOYSA-N	C22H19N4OClS4	518.013018	3.7138	
fcQc@EEEkHJqpQnPRYVywYWme^gIJCFZx@aijZf`@bP@@	Compound 369	317443	=	46	%	Inhibition				240686		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	NPBDCEQGAVYVAC-UHFFFAOYSA-N	C20H12N2O3FIS	505.959739	1.0213	
egXtEH@FFmKDekgojQUP@cIEDhXeEEdhheDdleDlcDhhXQPhYet\cTluMUUAuPTtTtsULTRDNDQTYD]D@@	Compound 370	1619901	>	1.0e5	nM	EC50				825873		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism			24486419	10.1016/j.ejmech.2013.12.055	NQRBPMMBKGALGC-MWPMHSNCSA-N	C33H34N2O10S	650.193418	0.94075	
fakXaBFBLxJZm@D^BDrwldTRabfbRbfLQJBtGMRsUSuUMR`@@	Compound 371	356339	=	18000	nM	IC50	0.27	13.16	4.63	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	NTMNWUJSOXLLCJ-UHFFFAOYSA-N	C14H12N6O2S2	360.046314	-4.0816	
ffcqB@K^bxDQdTRVTTRTUbRhpwbu`@fiv`@H@@	Compound 372	1619987	>	320	nM	EC50				825873		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism			24486419	10.1016/j.ejmech.2013.12.055	NTMOJASHOMIATH-UHFFFAOYSA-N	C17H10N3OCl	307.051239	-1.0009	
eghTD@@DC@LlbbTRRbrRtRfTVbLac`TrqusUUPPQTD@@PDGe@@	Compound 373	650343	=	10200	nM	EC50				486973		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 53 (13), 4968-4979 (2010)	20527968	10.1021/jm1004489	NTMTVRCCLOAJST-IBGZPJMESA-N	C26H30N2O2	402.230728	6.7431	
figQ`@DU@pnQQQQKIQYISQHdyipT}FuSD@@PL@@@@@	Compound 374	246269	=	370	nM	IC50	0.35	19.47	7.99	262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	NTNYHMJYSGPGCQ-UHFFFAOYSA-N	C20H14N2O3	330.100443	0.42426	
figQ`@DU@pnQQQQKIQYISQHdyipT}FuSD@@PL@@@@@	Compound 375	246269	=	120.23	nM	Ki				262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	NTNYHMJYSGPGCQ-UHFFFAOYSA-N	C20H14N2O3	330.100443	0.42426	
figQ`@DU@pnQQQQKIQYISQHdyipT}FuSD@@PL@@@@@	Compound 376	246269	=	120	nM	Ki	0.38	20.95	8.60	262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	NTNYHMJYSGPGCQ-UHFFFAOYSA-N	C20H14N2O3	330.100443	0.42426	
ffcQb@BQyHhHaIeW[e[WjL]zJX@JX@JY``@@	Compound 377	493964	=	400	nM	IC50				341535		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 18 (20), 5684-5688 (2008)	18796354	10.1016/j.bmcl.2008.08.082	OCDAGQUKTMTFLK-UHFFFAOYSA-N	C16H11N2O3Cl	314.045820	1.3949	
fns`R@AZbUhHcHhdhTeDeDehZL]{MX@JjZABH`@@	Compound 378	557228	>	50000	nM	IC50				426933		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (16), 4538-4541 (2009)	19625187	10.1016/j.bmcl.2009.07.009	OEBMCHWLROZTPG-UHFFFAOYSA-N	C17H14NO4Cl	331.061136	1.4529	
fns`R@AZbUhHcHhdhTeDeDehZL]{MX@JjZABH`@@	Compound 379	557228	>	50000	nM	IC50				426934		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 19 (16), 4538-4541 (2009)	19625187	10.1016/j.bmcl.2009.07.009	OEBMCHWLROZTPG-UHFFFAOYSA-N	C17H14NO4Cl	331.061136	1.4529	
fj}Pb@LRMx@QdbbbRRTrabQFV]dmSM]MSUT`@@	Compound 380	356338	=	16000	nM	IC50	0.31	15.97	7.26	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	OELFRKXRVLKMSJ-UHFFFAOYSA-N	C16H16N2O2S	300.093248	-2.8731	
dcnD`EGPkDfUn^neX@aiH@@	Compound 381	193423	<	25	%	Inhibition				262887		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	OEUGDMOJQQLVAZ-UHFFFAOYSA-N	C8H4NO2I	272.928677	-0.77322	
fkAp@@DDGO]yEEHmHiEMLileIYpVheFuUUUUUSUSUBPQRaeGBIDZHLQF`@	Compound 382	84507		0		Activity				294025		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OHCQJHSOBUTRHG-LGIRNHOVSA-N	C22H34O7	410.230455	-4.6773	
fkAp@@DDGO]yEEHmHiEMLileIYpVheFuUUUUUSUSUBPQRaeGBIDZHLQF`@	Compound 383	84507	=	7500	nM	EC50				294026		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OHCQJHSOBUTRHG-LGIRNHOVSA-N	C22H34O7	410.230455	-4.6773	
fkAp@@DDGO]yEEHmHiEMLileIYpVheFuUUUUUSUSUBPQRaeGBIDZHLQF`@	Compound 384	84507	=	50	%	Inhibition				294024		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OHCQJHSOBUTRHG-LGIRNHOVSA-N	C22H34O7	410.230455	-4.6773	
fkAp@@DDGO]yEEHmHiEMLileIYpVheFuUUUUUSUSUBPQRaeGBIDZHLQF`@	Compound 385	84507	<	25	%	Inhibition				294022		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OHCQJHSOBUTRHG-LGIRNHOVSA-N	C22H34O7	410.230455	-4.6773	
fkAp@@DDGO]yEEHmHiEMLileIYpVheFuUUUUUSUSUBPQRaeGBIDZHLQF`@	Compound 386	84507	=	25	%	Inhibition				294023		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OHCQJHSOBUTRHG-LGIRNHOVSA-N	C22H34O7	410.230455	-4.6773	
ek`\HH@A@ce@ICHhdhTihdlhiheEjFO@aemch@Jfjjh@@@``bh@@	Compound 387	1732325	>	50000	nM	EC50				843084		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 57 (6), 2393-2412 (2014)	24568342	10.1021/jm401712t	OJJUBNLUESFDRE-UHFFFAOYSA-N	C24H26N3OF	391.205990	5.4254	
fbmIb@DLEKr\`dLbbRbrabTVUNRTxL@QUTuTMcUEj@d@@	Compound 388	1957401		0		Activity				956765		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. 23 (17), 5496-5501 (2015)	26260336	10.1016/j.bmc.2015.07.039	OJVCXSPIMJTDOJ-GGVZMXCHSA-N	C12H13N4O3F	280.097169	0.42182	
eg`RDH@LBILaE@@cIEDdhhmeEDdelUIqiTMuMPPMEUAtDUQ@@@	Compound 389	348815	=	2.8184e12	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	OLHLKONSFGSLGT-UHFFFAOYSA-N	C23H28N4O2S	424.193296	-10.624	
eg`RDH@LBILaE@@cIEDdhhmeEDdelUIqiTMuMPPMEUAtDUQ@@@	Compound 390	348815	=	350000	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	OLHLKONSFGSLGT-UHFFFAOYSA-N	C23H28N4O2S	424.193296	-10.624	
gfkWPX@@DCCqtAJdtxBqL`G@QI|qQlw{Ci|yEEEEMEEEEGihhmDhdiiimCCDiiiihXehiikEEhhikeCHUjjjjZfjjjiiZjjjifjjjfijjfijjkF@`aQHhbDYBBeAHcdPVh{TDRJM@TbAB`	Compound 391	1064694	=	7700	nM	IC50				574748		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Antimicrob. Agents Chemother. 52 (4), 1302-1317 (2008)	18212100	10.1128/aac.01324-07	OLROWHGDTNFZBH-HWKAVBIVSA-N	C63H113N11O12	1215.85702	7.6908	
eeWPA@@@DMCkgh\\bbTTRTRrQTRbRRReVTtRRce`QUVwplkT@A@QUPTEQTp@A@`Tjd@@	Compound 392	387497		0		EC50				294026		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OMVSZZGLJJZENQ-MQHRAKSTSA-N	C34H32O8	568.209720	-3.5402	
eeWPA@@@DMCkgh\\bbTTRTRrQTRbRRReVTtRRce`QUVwplkT@A@QUPTEQTp@A@`Tjd@@	Compound 393	387497	<	25	%	Inhibition				294022		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OMVSZZGLJJZENQ-MQHRAKSTSA-N	C34H32O8	568.209720	-3.5402	
eeWPA@@@DMCkgh\\bbTTRTRrQTRbRRReVTtRRce`QUVwplkT@A@QUPTEQTp@A@`Tjd@@	Compound 394	387497	<	25	%	Inhibition				294023		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OMVSZZGLJJZENQ-MQHRAKSTSA-N	C34H32O8	568.209720	-3.5402	
eeWPA@@@DMCkgh\\bbTTRTRrQTRbRRReVTtRRce`QUVwplkT@A@QUPTEQTp@A@`Tjd@@	Compound 395	387497		0		Inhibition				294025		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OMVSZZGLJJZENQ-MQHRAKSTSA-N	C34H32O8	568.209720	-3.5402	
eeWPA@@@DMCkgh\\bbTTRTRrQTRbRRReVTtRRce`QUVwplkT@A@QUPTEQTp@A@`Tjd@@	Compound 396	387497		0		Inhibition				294024		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	OMVSZZGLJJZENQ-MQHRAKSTSA-N	C34H32O8	568.209720	-3.5402	
fluPb@B^yHDPdrkmrmmFNCEL@EL@QPH@@	Compound 397	493967	=	230	nM	IC50				341535		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 18 (20), 5684-5688 (2008)	18796354	10.1016/j.bmcl.2008.08.082	OPNCFNLNJUPFKN-UHFFFAOYSA-N	C14H9N2O2Cl	272.035255	-0.46366	
figPRBIImFkPABY[vRJJIYZZJYQZJxhIS`e{PLDTpLCED@@@	Compound 398	316474	=	39	%	Inhibition				240686		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (12), 3058-3062 (2005)	15896959	10.1016/j.bmcl.2005.04.027	OPRIYCBKEHNRHA-UHFFFAOYSA-N	C18H12N2O4S	352.051778	-3.87	
fmoqC@EN|DDQrPdDYEEDhiUMDeheBdpVkIKM\ADUTBDP@DDJT@@	Compound 399	379283	<=	50	%	Inhibition				406904		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 18 (23), 6110-6114 (2008)	18947995	10.1016/j.bmcl.2008.10.023	OTPCDAXONNMWAO-UHFFFAOYSA-N	C20H15N3OClFS	399.060837	1.4467	
